,No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,Year,Team,Result
287,25,Erick Dampier,C,6-11,265,"July 14, 1975",us,14,Mississippi State,2011,MIA,lost
288,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,7,Florida,2011,MIA,lost
289,55,Eddie House,SG,6-1,180,"May 14, 1978",us,10,Arizona State,2011,MIA,lost
290,5,Juwan Howard,PF,6-9,240,"February 7, 1973",us,16,Michigan,2011,MIA,lost
291,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt,12,,2011,MIA,lost
292,6,LeBron James,SF,6-9,250,"December 30, 1984",us,7,,2011,MIA,lost
293,22,James Jones,SF,6-8,218,"October 4, 1980",us,7,Miami (FL),2011,MIA,lost
294,21,Jamaal Magloire,C,6-11,259,"May 21, 1978",ca,10,Kentucky,2011,MIA,lost
295,13,Mike Miller,SG,6-8,218,"February 19, 1980",us,10,Florida,2011,MIA,lost
296,45,Dexter Pittman,C,6-11,308,"March 2, 1988",us,R,Texas,2011,MIA,lost
297,42,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",us,15,UNC,2011,MIA,lost
298,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,7,Marquette,2011,MIA,lost
299,45,Cole Aldrich,C,6-11,250,"October 31, 1988",us,1,Kansas,2012,OKC,lost
300,4,Nick Collison,PF,6-10,255,"October 26, 1980",us,7,Kansas,2012,OKC,lost
301,14,Daequan Cook,SG,6-5,205,"April 28, 1987",us,4,Ohio State,2012,OKC,lost
302,35,Kevin Durant,SF,6-10,240,"September 29, 1988",us,4,Texas,2012,OKC,lost
303,37,Derek Fisher,PG,6-1,200,"August 9, 1974",us,15,Little Rock,2012,OKC,lost
304,13,James Harden,SG,6-5,220,"August 26, 1989",us,2,Arizona State,2012,OKC,lost
305,11,Lazar Hayward,SF,6-6,225,"November 26, 1986",us,1,Marquette,2012,OKC,lost
306,9,Serge Ibaka,PF,6-10,235,"September 18, 1989",cg,2,,2012,OKC,lost
307,7,Royal Ivey,SG,6-3,200,"December 20, 1981",us,7,Texas,2012,OKC,lost
308,15,Reggie Jackson,PG,6-2,208,"April 16, 1990",it,R,Boston College,2012,OKC,lost
309,6,Eric Maynor,PG,6-3,175,"June 11, 1987",us,2,VCU,2012,OKC,lost
310,8,Nazr Mohammed,C,6-10,221,"September 5, 1977",us,13,Kentucky,2012,OKC,lost
311,5,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,8,,2012,OKC,lost
312,33,Ryan Reid,PF,6-8,232,"October 30, 1986",us,R,Florida State,2012,OKC,lost
313,2,Thabo Sefolosha,SG,6-6,215,"May 2, 1984",ch,5,,2012,OKC,lost
314,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,3,UCLA,2012,OKC,lost
315,11,James Anderson,SF,6-6,213,"March 25, 1989",us,2,Oklahoma State,2013,SAS,lost
316,16,Aron Baynes,C,6-10,260,"December 9, 1986",nz,R,Washington State,2013,SAS,lost
317,45,DeJuan Blair,PF,6-7,270,"April 22, 1989",us,3,Pitt,2013,SAS,lost
318,15,Matt Bonner,PF,6-10,235,"April 5, 1980",us,8,Florida,2013,SAS,lost
319,25,Nando De Colo,SG,6-5,200,"June 23, 1987",fr,R,,2013,SAS,lost
320,33,Boris Diaw,PF,6-8,250,"April 16, 1982",fr,9,,2013,SAS,lost
321,21,Tim Duncan,C,6-11,250,"April 25, 1976",vi,15,Wake Forest,2013,SAS,lost
322,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar,10,,2013,SAS,lost
323,4,Danny Green,SG,6-6,215,"June 22, 1987",us,3,UNC,2013,SAS,lost
324,3,Stephen Jackson,SF,6-8,218,"April 5, 1978",us,12,Butler County Community College,2013,SAS,lost
325,5,Cory Joseph,PG,6-3,200,"August 20, 1991",ca,1,Texas,2013,SAS,lost
326,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,1,San Diego State,2013,SAS,lost
327,1,Tracy McGrady,SF,6-8,210,"May 24, 1979",us,15,,2013,SAS,lost
328,8,Patty Mills,PG,6-1,180,"August 11, 1988",au,3,Saint Mary's,2013,SAS,lost
329,14,Gary Neal,SG,6-4,210,"October 3, 1984",us,2,"La Salle, Towson University",2013,SAS,lost
330,9,Tony Parker,PG,6-2,185,"May 17, 1982",be,11,,2013,SAS,lost
331,22,Tiago Splitter,PF,6-11,245,"January 1, 1985",br,2,,2013,SAS,lost
332,34,Ray Allen,SG,6-5,205,"July 20, 1975",us,17,UConn,2014,MIA,lost
333,11,Chris Andersen,C,6-10,245,"July 7, 1978",us,11,Blinn College,2014,MIA,lost
334,50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,6,UNLV,2014,MIA,lost
335,31,Shane Battier,SF,6-8,220,"September 9, 1978",us,12,Duke,2014,MIA,lost
336,8,Michael Beasley,SF,6-9,235,"January 9, 1989",us,5,Kansas State,2014,MIA,lost
337,1,Chris Bosh,C,6-11,235,"March 24, 1984",us,10,Georgia Tech,2014,MIA,lost
338,15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,5,Kansas,2014,MIA,lost
339,30,Norris Cole,PG,6-2,175,"October 13, 1988",us,2,Cleveland State University,2014,MIA,lost
340,0,Toney Douglas,PG,6-2,195,"March 16, 1986",us,4,"Auburn, Florida State",2014,MIA,lost
341,7,Justin Hamilton,C,7-0,260,"April 1, 1990",us,R,"Iowa State, LSU",2014,MIA,lost
342,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,10,Florida,2014,MIA,lost
343,6,LeBron James,PF,6-9,250,"December 30, 1984",us,10,,2014,MIA,lost
344,22,James Jones,SF,6-8,218,"October 4, 1980",us,10,Miami (FL),2014,MIA,lost
345,9,Rashard Lewis,SF,6-10,215,"August 8, 1979",us,15,,2014,MIA,lost
346,14,DeAndre Liggins,SG,6-6,209,"March 31, 1988",us,2,Kentucky,2014,MIA,lost
347,21,Roger Mason,SG,6-5,200,"September 10, 1980",us,9,Virginia,2014,MIA,lost
348,20,Greg Oden,C,7-0,250,"January 22, 1988",us,2,Ohio State,2014,MIA,lost
349,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,10,Marquette,2014,MIA,lost
350,89,Lou Amundson,PF,6-9,220,"December 7, 1982",us,8,UNLV,2015,CLE,lost
351,5,Will Cherry,PG,6-0,185,"February 8, 1991",us,R,Montana,2015,CLE,lost
352,8,Matthew Dellavedova,SG,6-3,200,"September 8, 1990",au,1,Saint Mary's,2015,CLE,lost
353,12,Joe Harris,SG,6-6,220,"September 6, 1991",us,R,Virginia,2015,CLE,lost
354,33,Brendan Haywood,C,7-0,268,"November 27, 1979",us,12,UNC,2015,CLE,lost
355,2,Kyrie Irving,PG,6-2,195,"March 23, 1992",au,3,Duke,2015,CLE,lost
356,23,LeBron James,SF,6-9,250,"December 30, 1984",us,11,,2015,CLE,lost
357,1,James Jones,SF,6-8,218,"October 4, 1980",us,11,Miami (FL),2015,CLE,lost
358,53,Alex Kirk,C,7-0,245,"November 14, 1991",us,R,New Mexico,2015,CLE,lost
359,0,Kevin Love,PF,6-8,251,"September 7, 1988",us,6,UCLA,2015,CLE,lost
360,31,Shawn Marion,SF,6-7,220,"May 7, 1978",us,15,UNLV,2015,CLE,lost
361,18,Mike Miller,SF,6-8,218,"February 19, 1980",us,14,Florida,2015,CLE,lost
362,20,Timofey Mozgov,C,7-1,275,"July 16, 1986",ru,4,,2015,CLE,lost
363,3,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,11,,2015,CLE,lost
364,21,A.J. Price,PG,6-2,181,"October 7, 1986",us,5,UConn,2015,CLE,lost
365,4,Iman Shumpert,SG,6-5,215,"June 26, 1990",us,3,Georgia Tech,2015,CLE,lost
366,5,J.R. Smith,SG,6-6,225,"September 9, 1985",us,10,,2015,CLE,lost
367,13,Tristan Thompson,PF,6-9,254,"March 13, 1991",ca,3,Texas,2015,CLE,lost
368,17,Anderson Varejão,C,6-10,273,"September 28, 1982",br,10,,2015,CLE,lost
369,3,Dion Waiters,SG,6-3,215,"December 10, 1991",us,2,Syracuse,2015,CLE,lost
